Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (yoy),Quarterly earnings growth (yoy),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share,Short interest ratio,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
ADI,S&P 500,89.23B,1.64B,9.75B,71.02,3.30,3.04,1.79%,24700,Yes,Yes,1.90,48.13,17.34,2.90,9.15,2.39,51.35,49.13,1.50,2.00,0.17,0.17,10.17%,3.52,9.79,2.43,5.60%,5.68%,16.57%,4.70%,16.40%,78.90%,31.10%,May 18 BMO,8.64%,0.10%,-7.73%,88.10%,-0.14%,3.70%,5.30%,3.40%,58.30%,18.20%,16.80%,79.60%,3.03%,522.37M,517.87M,1.13%,1.69,195.38,138.50 - 191.95,-11.61%,22.51%,68.42,1.12,3.46M,"3,868,006",2.71%,14.26%,11.83%,6.20%,3.43%,-3.47%,1.12,4.53,2.36% 2.80%,168.33,169.67,0.80%
ADM,S&P 500,44.76B,3.07B,90.01B,41.91,1.91,1.60,2.02%,41000,Yes,Yes,2.30,14.65,13.45,1.93,0.50,1.89,41.48,14.79,0.80,1.40,0.55,0.37,6.56%,5.42,5.90,1.72,52.50%,-5.17%,7.60%,17.20%,6.50%,25.20%,51.90%,Jul 26 BMO,-1.01%,0.40%,-20.57%,81.50%,-0.05%,5.50%,13.70%,6.60%,7.00%,3.40%,3.40%,27.70%,3.43%,566.00M,559.96M,1.20%,1.87,93.46,57.64 - 98.88,-19.75%,37.66%,57.87,0.84,3.58M,"3,017,158",7.20%,4.42%,-15.51%,9.80%,35.32%,17.40%,0.78,2.46,3.14% 2.76%,80.45,79.35,-1.37%
ADP,S&P 500,99.02B,2.86B,16.11B,10.03,4.02,4.16,1.74%,56000,Yes,Yes,3.00,35.36,30.94,2.44,6.15,23.88,59.59,93.54,1.00,1.00,0.71,0.71,10.93%,6.77,7.74,1.46,6.80%,10.97%,14.50%,13.30%,5.20%,10.00%,16.60%,Jul 27 BMO,11.74%,0.11%,-1.26%,81.30%,0.33%,4.80%,56.50%,29.40%,42.50%,22.70%,17.80%,56.30%,8.80%,418.10M,415.00M,0.96%,2.28,231.81,192.26 - 248.96,-3.81%,24.56%,72.20,1.05,1.74M,"1,828,593",9.81%,11.88%,5.04%,21.28%,15.76%,-2.88%,0.81,5.87,3.16% 2.39%,234.04,239.48,2.32%
ADSK,S&P 500,46.84B,487.40M,4.57B,3.14,7.18,-,-,12600,Yes,Yes,1.90,96.26,26.92,3.82,10.26,67.57,29.55,29.62,0.60,0.60,3.86,3.35,16.22%,2.20,7.88,1.57,-58.80%,20.38%,25.20%,23.40%,16.60%,18.30%,-4.90%,May 26 AMC,13.67%,0.20%,-2.08%,93.10%,0.03%,5.90%,47.10%,15.80%,90.30%,15.30%,10.70%,0.00%,-8.73%,217.00M,216.46M,1.23%,1.46,248.36,163.20 - 344.39,-38.40%,30.00%,69.03,0.98,1.82M,"1,783,967",6.56%,19.99%,17.56%,-9.05%,-32.25%,-24.55%,1.48,7.29,3.72% 3.47%,203.41,212.16,4.30%
AEE,S&P 500,23.47B,1.01B,6.71B,38.02,0.03,2.36,2.56%,9116,Yes,Yes,2.20,23.58,21.08,3.70,3.50,2.42,3352.56,16.21,0.50,0.60,1.44,1.28,4.52%,3.90,4.37,0.84,9.70%,7.22%,6.37%,7.50%,1.00%,20.00%,6.90%,Aug 05 BMO,2.95%,0.50%,-6.60%,80.90%,-0.31%,2.90%,10.50%,5.00%,82.70%,20.10%,15.00%,42.10%,4.04%,257.90M,257.12M,1.19%,2.08,96.42,80.27 - 99.20,-7.20%,14.69%,65.11,0.67,1.47M,"982,276",6.66%,2.75%,-2.41%,7.57%,9.35%,3.43%,0.34,1.68,1.55% 1.86%,89.39,92.06,2.99%
AEP,S&P 500,49.30B,2.63B,17.10B,47.12,1.75,3.12,3.20%,16688,Yes,Yes,2.20,18.73,18.45,3.02,2.88,2.07,55.77,12.47,0.50,0.60,1.56,1.29,3.05%,5.21,5.29,1.19,14.60%,5.80%,6.21%,31.80%,0.50%,7.30%,22.00%,Jul 27 BMO,1.22%,0.10%,-11.89%,74.90%,-0.16%,3.00%,11.70%,5.60%,68.40%,21.00%,15.40%,58.20%,6.04%,513.54M,513.02M,1.73%,3.19,106.29,80.22 - 104.81,-6.86%,21.69%,59.99,1.01,2.78M,"2,801,737",5.21%,2.67%,-1.92%,9.90%,9.70%,9.72%,0.34,1.83,1.76% 1.97%,96.29,97.62,1.38%
AES,S&P 500,15.02B,-150.00M,11.36B,3.10,2.22,0.63,2.84%,8450,Yes,Yes,1.80,-,12.72,-,1.32,7.19,10.04,-,0.90,1.10,9.18,8.16,7.86%,-0.44,1.75,0.33,5.90%,9.23%,8.40%,2.48%,1.60%,8.20%,172.80%,Aug 05 BMO,6.84%,0.30%,1.39%,95.30%,-0.31%,-0.40%,-6.60%,-1.50%,22.70%,-1.30%,-1.30%,-,-1.87%,711.00M,665.63M,2.10%,2.52,27.05,18.62 - 26.52,-15.99%,19.66%,64.43,1.63,5.54M,"9,031,289",11.90%,5.14%,5.59%,-0.62%,-8.01%,-8.31%,0.94,0.74,3.29% 3.23%,20.35,22.28,9.48%
AFL,S&P 500,36.18B,4.06B,21.51B,45.44,6.67,1.60,2.84%,12447,Yes,Yes,2.90,9.26,10.54,2.93,1.68,1.24,8.46,8.91,-,-,0.26,0.26,1.93%,6.09,5.35,1.28,-4.20%,2.53%,3.16%,14.80%,-0.50%,-10.20%,-15.40%,Aug 01 AMC,0.57%,0.30%,-3.95%,60.70%,0.21%,2.60%,12.50%,11.10%,-,24.30%,18.90%,22.70%,-4.40%,649.75M,585.33M,1.50%,3.31,60.77,51.28 - 67.20,-16.04%,10.02%,55.78,0.82,2.66M,"2,178,070",2.53%,0.93%,-7.23%,-9.23%,4.89%,-3.37%,0.94,1.18,1.76% 1.92%,56.00,56.42,0.75%
AIG,S&P 500,40.23B,9.74B,53.41B,67.94,3.18,1.28,2.54%,36600,Yes,Yes,2.40,4.36,7.91,0.38,0.75,0.74,15.86,8.69,-,-,0.54,0.54,-1.33%,11.59,6.38,1.12,257.40%,27.65%,11.51%,77.40%,-0.30%,9.40%,16.60%,Aug 08 AMC,-5.99%,0.10%,-0.95%,93.50%,-0.02%,1.60%,15.50%,11.70%,-,27.00%,18.20%,10.90%,-12.60%,816.31M,791.03M,1.00%,1.50,67.36,46.18 - 65.73,-23.19%,9.33%,43.81,1.69,5.26M,"8,864,851",-2.21%,-2.55%,-14.60%,-12.39%,7.54%,-11.20%,1.24,1.58,2.90% 2.61%,52.52,50.49,-3.87%
AIZ,S&P 500,9.26B,610.30M,10.24B,90.02,23.26,2.72,1.58%,15600,Yes,Yes,1.70,16.60,11.85,0.96,0.90,1.91,7.40,26.18,-,-,0.44,0.44,0.34%,10.37,14.53,3.16,27.70%,13.58%,17.30%,2.10%,6.20%,2.00%,11.10%,Aug 02 AMC,-1.66%,0.60%,-1.89%,-,0.28%,3.70%,24.50%,9.50%,-,8.50%,13.20%,11.60%,2.29%,55.78M,49.96M,1.46%,1.52,206.33,144.18 - 194.12,-11.32%,19.40%,50.02,0.67,481.55K,"321,102",2.00%,-0.49%,-7.46%,14.12%,9.92%,10.45%,0.53,3.54,1.63% 2.04%,172.14,172.15,0.01%
AJG,S&P 500,37.29B,963.40M,8.48B,43.01,2.50,2.04,1.16%,39000,Yes,Yes,2.20,38.63,20.26,3.98,4.40,4.09,70.54,28.42,1.10,1.10,0.69,0.64,5.77%,4.56,8.69,1.68,4.20%,11.77%,9.70%,14.50%,7.60%,12.50%,7.10%,Jul 28 AMC,8.81%,0.50%,-13.53%,85.40%,-0.04%,2.90%,11.30%,8.00%,39.20%,15.80%,11.40%,41.20%,7.62%,209.00M,208.07M,0.90%,2.16,190.38,136.92 - 187.02,-5.86%,28.59%,68.76,0.99,866.11K,"861,342",3.81%,7.89%,0.38%,14.94%,28.03%,3.77%,0.67,3.62,1.89% 1.87%,173.31,176.06,1.59%
AKAM,S&P 500,15.16B,615.10M,3.52B,26.80,3.16,-,-,8700,Yes,Yes,2.20,25.44,15.65,2.39,4.31,3.53,29.92,13.98,1.70,1.70,0.55,0.53,3.74%,3.72,6.04,1.31,16.60%,12.53%,10.66%,16.60%,8.10%,7.20%,-22.50%,Aug 09 AMC,0.13%,0.40%,-13.21%,97.50%,0.07%,7.60%,13.80%,11.10%,63.20%,22.00%,17.50%,0.00%,-11.91%,160.49M,157.60M,7.41%,5.98,119.92,85.90 - 123.25,-23.26%,10.10%,56.09,0.44,1.95M,"857,898",0.46%,2.37%,-16.82%,-13.97%,-20.61%,-19.19%,0.65,2.20,1.83% 2.19%,93.65,94.58,0.99%
ALB,S&P 500,28.19B,281.40M,3.63B,49.77,3.88,1.58,0.67%,6000,Yes,Yes,2.30,99.38,15.09,1.42,7.77,4.75,60.85,-,0.60,1.10,0.43,0.34,12.76%,2.38,15.66,3.25,-69.80%,15.71%,69.82%,-22.90%,4.40%,36.00%,155.10%,Aug 03 AMC,4.90%,0.20%,2.71%,84.90%,0.63%,2.60%,4.80%,9.50%,32.60%,26.50%,7.80%,64.80%,4.53%,117.07M,116.91M,1.84%,1.54,274.65,169.93 - 291.48,-18.92%,39.07%,63.87,0.77,1.40M,"1,078,728",4.75%,5.88%,22.94%,14.93%,21.48%,1.09%,1.57,8.64,3.63% 3.68%,234.29,236.32,0.87%
ALGN,S&P 500,23.78B,705.90M,4.03B,46.57,12.02,-,-,22540,Yes,Yes,1.90,31.80,23.69,0.74,5.90,6.06,23.48,44.79,1.20,1.30,0.00,0.00,10.39%,8.88,11.91,2.25,-56.80%,22.87%,43.25%,33.00%,29.60%,8.80%,-32.50%,Jul 27 AMC,8.85%,0.30%,3.14%,88.80%,0.36%,12.30%,19.90%,21.50%,73.60%,23.50%,17.50%,0.00%,-38.04%,78.74M,73.87M,3.68%,2.32,382.80,225.86 - 737.45,-61.73%,24.97%,59.59,1.92,1.17M,"2,245,953",-0.70%,16.67%,-21.69%,-38.29%,-54.61%,-57.05%,1.79,13.95,6.27% 5.15%,262.61,282.25,7.48%
ALK,S&P 500,5.61B,194.00M,8.19B,28.87,22.69,-,-,20550,Yes,Yes,1.90,29.17,8.03,1.50,0.68,1.52,1.94,5.51,0.90,0.90,0.65,0.57,5.38%,1.51,5.48,2.14,134.10%,36.03%,19.43%,-10.60%,0.80%,110.90%,-7.70%,Jul 21 BMO,1.25%,0.40%,-0.92%,78.20%,0.39%,3.40%,13.40%,8.20%,53.50%,8.40%,5.80%,0.00%,-14.21%,125.98M,124.94M,2.64%,1.84,62.50,38.19 - 63.76,-30.98%,15.25%,56.65,0.89,1.79M,"1,589,805",1.90%,7.92%,-18.94%,-15.87%,-26.23%,-15.53%,1.48,1.50,3.08% 3.31%,43.79,44.01,0.50%
ALL,S&P 500,31.74B,3.32B,50.47B,76.38,4.12,3.40,2.94%,54300,Yes,Yes,2.40,10.33,9.45,1.94,0.63,1.52,28.09,11.26,-,-,0.38,0.38,-6.63%,11.20,12.25,-1.30,0.80%,101.03%,5.32%,29.50%,6.50%,-0.90%,-71.60%,Aug 03 AMC,-8.23%,0.20%,-38.61%,78.10%,-0.02%,3.00%,14.80%,16.50%,-,8.30%,7.00%,26.90%,-7.18%,278.10M,273.52M,1.20%,1.76,142.71,106.11 - 144.46,-19.88%,9.08%,35.85,0.99,1.87M,"1,846,348",-0.14%,-7.92%,-9.84%,-3.79%,-11.25%,-1.62%,0.77,3.30,2.21% 2.40%,116.98,115.74,-1.06%
ALLE,S&P 500,9.16B,468.00M,2.90B,8.41,3.47,1.64,1.57%,11000,Yes,Yes,2.50,20.04,16.41,2.07,3.16,12.40,30.04,42.19,1.20,1.90,1.94,1.92,4.63%,5.20,6.36,1.33,57.60%,13.60%,9.70%,17.70%,5.10%,4.20%,-11.40%,Jul 28 BMO,0.73%,0.40%,-2.48%,95.90%,-0.04%,15.30%,59.40%,22.20%,41.30%,17.80%,16.20%,28.50%,-11.12%,88.20M,87.43M,2.25%,2.76,120.38,93.05 - 148.70,-29.85%,12.10%,59.52,1.53,714.31K,"1,090,224",0.82%,6.01%,-10.09%,-13.36%,-23.07%,-21.24%,1.06,2.64,2.47% 2.51%,104.19,104.31,0.12%
AMAT,S&P 500,93.44B,6.76B,24.84B,13.19,4.41,1.04,0.99%,27000,Yes,Yes,2.10,14.03,12.44,1.02,3.76,7.97,23.82,21.48,1.50,2.30,0.47,0.47,11.95%,7.49,8.45,1.79,63.40%,12.86%,13.77%,33.00%,16.30%,11.90%,21.20%,May 19 AMC,4.06%,0.10%,-2.74%,80.50%,-0.28%,26.70%,56.60%,33.90%,47.50%,31.80%,27.20%,12.70%,-17.65%,878.00M,868.02M,1.30%,1.44,138.35,82.67 - 167.06,-37.05%,27.20%,61.25,0.77,7.82M,"6,023,547",1.27%,10.67%,-3.35%,-22.44%,-23.36%,-33.17%,1.52,3.90,3.24% 3.77%,103.46,105.16,1.64%
AMCR,S&P 500,19.66B,948.00M,14.09B,3.01,0.71,0.48,3.68%,46000,Yes,Yes,3.00,20.96,15.38,3.52,1.40,4.33,18.25,102.92,0.80,1.40,1.60,1.59,3.82%,0.62,0.85,0.24,55.60%,5.74%,5.95%,23.80%,6.40%,15.60%,3.30%,May 03 AMC,2.90%,0.26%,-19.53%,44.10%,0.74%,5.50%,20.60%,9.60%,19.70%,9.60%,6.70%,76.20%,8.39%,1.50B,1.49B,3.05%,3.94,12.52,10.66 - 13.60,-4.15%,22.29%,62.32,0.88,11.54M,"10,146,125",3.16%,5.76%,8.49%,10.88%,12.61%,8.58%,-,0.29,2.14% 2.25%,12.88,13.04,1.24%
AMD,S&P 500,153.59B,3.39B,18.88B,39.72,3.90,-,-,15500,Yes,Yes,2.20,34.19,18.67,1.22,8.14,2.31,23.51,46.37,2.00,2.40,0.03,0.03,12.73%,2.68,4.91,1.03,24.70%,11.77%,28.10%,44.60%,30.90%,70.90%,23.60%,Aug 02 AMC,3.12%,0.40%,-4.54%,68.30%,-0.06%,13.40%,17.60%,40.10%,48.50%,20.80%,18.00%,0.00%,-19.09%,1.39B,1.19B,2.93%,0.33,128.30,71.60 - 164.46,-44.26%,28.03%,60.12,0.74,106.15M,"78,515,774",0.64%,13.48%,7.96%,-17.20%,-6.39%,-36.30%,1.96,3.88,3.96% 4.29%,89.82,91.67,2.06%
AME,S&P 500,27.93B,1.04B,5.79B,29.94,1.47,0.88,0.73%,18500,Yes,Yes,2.00,26.95,20.77,-,4.82,4.03,82.08,36.34,0.90,1.40,0.37,0.32,7.17%,4.48,5.81,1.29,12.70%,7.06%,-1.20%,14.20%,7.60%,20.00%,23.90%,Aug 02 BMO,5.01%,0.40%,-0.62%,89.50%,0.84%,8.80%,15.60%,11.40%,34.50%,23.60%,18.00%,18.20%,-6.84%,231.48M,229.82M,0.64%,1.31,145.44,106.17 - 148.07,-18.52%,13.64%,67.19,0.72,1.12M,"806,477",4.34%,9.56%,-4.53%,-9.55%,-11.85%,-17.95%,1.25,2.47,1.84% 2.12%,118.60,120.65,1.73%
AMGN,DJIA S&P500,133.32B,5.72B,26.32B,1.67,12.26,7.76,3.11%,24200,Yes,Yes,2.60,24.59,13.21,3.46,5.07,149.55,20.37,30.72,1.10,1.40,40.23,39.31,1.13%,10.16,18.91,4.39,-16.50%,8.67%,7.10%,0.10%,2.50%,5.70%,-5.40%,Aug 04 AMC,1.67%,0.20%,-1.30%,81.30%,0.12%,9.30%,95.10%,17.10%,75.20%,30.40%,21.70%,70.80%,8.28%,548.00M,533.12M,3.25%,5.29,251.31,198.64 - 258.45,-3.37%,25.73%,56.59,0.68,3.27M,"2,210,475",1.62%,2.56%,0.39%,12.23%,2.25%,11.01%,0.57,4.34,1.79% 1.65%,251.72,249.75,-0.78%
AMP,S&P 500,28.89B,3.08B,13.74B,44.06,61.27,5.00,1.90%,12000,Yes,Yes,1.90,10.08,9.49,1.04,2.10,5.96,4.29,7.08,-,-,5.34,0.90,10.59%,26.05,27.68,5.56,88.50%,15.89%,9.72%,24.10%,2.60%,9.00%,83.10%,Jul 26 AMC,5.13%,0.30%,-26.02%,85.00%,-0.06%,1.80%,55.80%,9.50%,51.10%,28.90%,22.40%,17.00%,-7.75%,113.70M,109.63M,0.84%,1.40,285.00,219.99 - 332.37,-20.99%,19.36%,65.46,1.41,653.97K,"919,933",7.03%,7.72%,-1.36%,-12.12%,4.18%,-12.95%,1.48,7.82,3.08% 2.82%,256.52,262.59,2.37%
AMT,S&P 500,122.94B,2.63B,9.86B,11.76,4.25,5.72,2.13%,6378,Yes,Yes,2.20,46.52,55.36,3.51,12.47,22.87,63.32,209.97,0.40,0.40,8.10,7.11,4.99%,5.78,4.86,0.96,49.50%,8.42%,13.24%,23.40%,10.10%,23.20%,7.70%,Jul 28 BMO,6.35%,0.20%,-3.21%,91.50%,0.00%,4.10%,48.80%,5.90%,70.50%,30.60%,26.70%,89.80%,5.06%,455.95M,454.72M,0.83%,1.85,289.17,220.00 - 303.72,-11.46%,22.23%,62.01,1.28,2.03M,"2,586,282",5.29%,6.31%,6.35%,10.84%,-5.64%,-8.07%,0.45,7.16,2.25% 2.47%,258.28,268.90,4.11%
